idx,id_transaksi,user_id,tanggal,kategori,nama_produk,nama_merchant,harga_produk,biaya_admin,cashback,poin_loyalitas,metode_pembayaran,status_transaksi,id_merchant,tipe_perangkat,lokasi,bulan,hari,nama_transaksi,tahun
0.0,SYN-1454,Tidak Diketahui,2026-05-13 11:44:33.205306,Tagihan,Tidak Diketahui,Tidak Diketahui,715993,4894,2650,0.0,Kartu Debit,Berhasil,Tidak Diketahui,Tidak Diketahui,Pinggiran Kota,Mei,Rabu,Bayar Air Pdam,2026
0.0,SYN-1435,Tidak Diketahui,2026-05-13 11:44:33.205167,Hiburan,Tidak Diketahui,Tidak Diketahui,138910,3230,2889,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Top Up Diamond Ml,2026
0.0,SYN-1189,Tidak Diketahui,2026-05-13 11:44:33.203319,Hadiah & Amal,Tidak Diketahui,Tidak Diketahui,65680,2115,11507,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,bayar dana kelas akhir tahun,2026
0.0,SYN-1189,Tidak Diketahui,2026-05-13 11:44:33.203319,Hadiah & Amal,Tidak Diketahui,Tidak Diketahui,65680,2115,11507,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,beli parsel lebaran buat mertua,2026
0.0,SYN-1189,Tidak Diketahui,2026-05-13 11:44:33.203319,Hadiah & Amal,Tidak Diketahui,Tidak Diketahui,65680,2115,11507,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,beli dompet buat kado cowok,2026
0.0,SYN-1189,Tidak Diketahui,2026-05-13 11:44:33.203319,Hadiah & Amal,Tidak Diketahui,Tidak Diketahui,65680,2115,11507,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Bayar Infaq,2026
0.0,SYN-1181,Tidak Diketahui,2026-05-13 11:44:33.203263,Transportasi,Tidak Diketahui,Tidak Diketahui,247914,2584,4434,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Pinggiran Kota,Mei,Rabu,Isi Bensin,2026
0.0,SYN-1176,Tidak Diketahui,2026-05-13 11:44:33.203226,Hiburan,Tidak Diketahui,Tidak Diketahui,64917,2981,12688,0.0,Saldo Dompet,Berhasil,Tidak Diketahui,Tidak Diketahui,Pedesaan,Mei,Rabu,Bayar Diamond Ml,2026
0.0,SYN-1062,Tidak Diketahui,2026-05-13 11:44:33.202244,Tagihan,Tidak Diketahui,Tidak Diketahui,335809,4872,14331,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Pinggiran Kota,Mei,Rabu,Beli Spotify,2026
0.0,SYN-1057,Tidak Diketahui,2026-05-13 11:44:33.202206,Tabungan & Investasi,Tidak Diketahui,Tidak Diketahui,1018173,642,7206,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,top up di permata sekuritas,2026
0.0,SYN-1057,Tidak Diketahui,2026-05-13 11:44:33.202206,Tabungan & Investasi,Tidak Diketahui,Tidak Diketahui,1018173,642,7206,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Isi Deposito,2026
0.0,SYN-1046,Tidak Diketahui,2026-05-13 11:44:33.202129,Pendidikan,Tidak Diketahui,Tidak Diketahui,962812,1311,7791,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Beli Ukt,2026
0.0,SYN-1046,Tidak Diketahui,2026-05-13 11:44:33.202129,Pendidikan,Tidak Diketahui,Tidak Diketahui,962812,1311,7791,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,beli penggaris panjang,2026
0.0,SYN-0939,Tidak Diketahui,2026-05-13 11:44:33.201312,Pendidikan,Tidak Diketahui,Tidak Diketahui,922983,4760,9764,0.0,QRIS,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Top Up Seminar,2026
0.0,SYN-0903,Tidak Diketahui,2026-05-13 11:44:33.201048,Belanja,Tidak Diketahui,Tidak Diketahui,81391,3358,9561,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Transfer Sepatu,2026
0.0,SYN-0745,Tidak Diketahui,2026-05-13 11:44:33.199837,Makanan & Minuman,Tidak Diketahui,Tidak Diketahui,98558,3535,11613,0.0,Kartu Debit,Berhasil,Tidak Diketahui,Tidak Diketahui,Pedesaan,Mei,Rabu,beli cincau,2026
0.0,SYN-0745,Tidak Diketahui,2026-05-13 11:44:33.199837,Makanan & Minuman,Tidak Diketahui,Tidak Diketahui,98558,3535,11613,0.0,Kartu Debit,Berhasil,Tidak Diketahui,Tidak Diketahui,Pedesaan,Mei,Rabu,bayar makan buka puasa,2026
0.0,SYN-0745,Tidak Diketahui,2026-05-13 11:44:33.199837,Makanan & Minuman,Tidak Diketahui,Tidak Diketahui,98558,3535,11613,0.0,Kartu Debit,Berhasil,Tidak Diketahui,Tidak Diketahui,Pedesaan,Mei,Rabu,Isi Warmindo,2026
0.0,SYN-0708,Tidak Diketahui,2026-05-13 11:44:33.199560,Makanan & Minuman,Tidak Diketahui,Tidak Diketahui,68565,3441,9341,0.0,Saldo Dompet,Berhasil,Tidak Diketahui,Tidak Diketahui,Perkotaan,Mei,Rabu,Isi Gacoan,2026
0.0,SYN-0705,Tidak Diketahui,2026-05-13 11:44:33.199537,Belanja,Tidak Diketahui,Tidak Diketahui,56897,729,1625,0.0,Transfer Bank,Berhasil,Tidak Diketahui,Tidak Diketahui,Pedesaan,Mei,Rabu,Bayar Indomaret,2026
